# Forces     
# CofR       : (4.974613e-01 -1.671896e-02 1.250000e-01)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
860          	((5.603956e+00 2.446895e+02 2.793291e-18) (1.599597e+00 -1.865545e-02 8.216053e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464409e-15 -6.219266e-18 -3.297406e+01) (6.116933e-20 -9.839455e-18 -9.632964e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
870          	((5.603899e+00 2.446908e+02 2.793201e-18) (1.599597e+00 -1.865560e-02 8.216170e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464417e-15 -6.218717e-18 -3.297426e+01) (6.117038e-20 -9.839449e-18 -9.633016e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
880          	((5.603848e+00 2.446919e+02 2.793122e-18) (1.599598e+00 -1.865572e-02 8.216273e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464423e-15 -6.218233e-18 -3.297444e+01) (6.117131e-20 -9.839443e-18 -9.633061e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
890          	((5.603802e+00 2.446930e+02 2.793051e-18) (1.599599e+00 -1.865583e-02 8.216364e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464429e-15 -6.217801e-18 -3.297460e+01) (6.117213e-20 -9.839437e-18 -9.633101e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
900          	((5.603764e+00 2.446939e+02 2.792990e-18) (1.599599e+00 -1.865593e-02 8.216443e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464434e-15 -6.217429e-18 -3.297474e+01) (6.117284e-20 -9.839433e-18 -9.633137e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
910          	((5.603728e+00 2.446947e+02 2.792935e-18) (1.599600e+00 -1.865603e-02 8.216514e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464439e-15 -6.217094e-18 -3.297486e+01) (6.117345e-20 -9.839429e-18 -9.633169e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
920          	((5.603698e+00 2.446954e+02 2.792887e-18) (1.599600e+00 -1.865611e-02 8.216576e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464443e-15 -6.216806e-18 -3.297497e+01) (6.117398e-20 -9.839426e-18 -9.633197e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
930          	((5.603671e+00 2.446960e+02 2.792845e-18) (1.599600e+00 -1.865619e-02 8.216632e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464446e-15 -6.216546e-18 -3.297507e+01) (6.117445e-20 -9.839422e-18 -9.633222e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
940          	((5.603647e+00 2.446965e+02 2.792807e-18) (1.599601e+00 -1.865625e-02 8.216680e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464449e-15 -6.216315e-18 -3.297515e+01) (6.117489e-20 -9.839420e-18 -9.633244e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
950          	((5.603625e+00 2.446970e+02 2.792773e-18) (1.599601e+00 -1.865631e-02 8.216725e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464452e-15 -6.216108e-18 -3.297523e+01) (6.117528e-20 -9.839417e-18 -9.633262e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
960          	((5.603606e+00 2.446975e+02 2.792744e-18) (1.599601e+00 -1.865635e-02 8.216762e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464455e-15 -6.215931e-18 -3.297530e+01) (6.117564e-20 -9.839415e-18 -9.633279e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
970          	((5.603588e+00 2.446978e+02 2.792717e-18) (1.599601e+00 -1.865639e-02 8.216796e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464457e-15 -6.215763e-18 -3.297536e+01) (6.117595e-20 -9.839413e-18 -9.633293e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
980          	((5.603576e+00 2.446982e+02 2.792696e-18) (1.599601e+00 -1.865642e-02 8.216825e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464459e-15 -6.215638e-18 -3.297541e+01) (6.117624e-20 -9.839411e-18 -9.633306e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
990          	((5.603563e+00 2.446985e+02 2.792675e-18) (1.599601e+00 -1.865645e-02 8.216851e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464461e-15 -6.215514e-18 -3.297545e+01) (6.117649e-20 -9.839409e-18 -9.633317e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1000         	((5.603551e+00 2.446987e+02 2.792658e-18) (1.599602e+00 -1.865647e-02 8.216874e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464462e-15 -6.215406e-18 -3.297549e+01) (6.117671e-20 -9.839408e-18 -9.633327e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1010         	((5.603541e+00 2.446990e+02 2.792642e-18) (1.599602e+00 -1.865649e-02 8.216894e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464463e-15 -6.215309e-18 -3.297553e+01) (6.117689e-20 -9.839407e-18 -9.633337e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1020         	((5.603532e+00 2.446992e+02 2.792628e-18) (1.599602e+00 -1.865652e-02 8.216912e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464465e-15 -6.215224e-18 -3.297556e+01) (6.117705e-20 -9.839406e-18 -9.633345e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1030         	((5.603524e+00 2.446993e+02 2.792615e-18) (1.599602e+00 -1.865654e-02 8.216928e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464466e-15 -6.215148e-18 -3.297559e+01) (6.117719e-20 -9.839405e-18 -9.633352e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1040         	((5.603518e+00 2.446995e+02 2.792605e-18) (1.599602e+00 -1.865656e-02 8.216938e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464466e-15 -6.215088e-18 -3.297561e+01) (6.117730e-20 -9.839404e-18 -9.633359e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1050         	((5.603512e+00 2.446996e+02 2.792596e-18) (1.599602e+00 -1.865658e-02 8.216953e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464467e-15 -6.215031e-18 -3.297563e+01) (6.117736e-20 -9.839404e-18 -9.633364e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1060         	((5.603508e+00 2.446997e+02 2.792589e-18) (1.599602e+00 -1.865660e-02 8.216963e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464468e-15 -6.214987e-18 -3.297565e+01) (6.117744e-20 -9.839403e-18 -9.633369e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1070         	((5.603503e+00 2.446998e+02 2.792581e-18) (1.599602e+00 -1.865661e-02 8.216973e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464468e-15 -6.214942e-18 -3.297566e+01) (6.117751e-20 -9.839402e-18 -9.633373e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1080         	((5.603498e+00 2.446999e+02 2.792574e-18) (1.599602e+00 -1.865662e-02 8.216979e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464469e-15 -6.214895e-18 -3.297568e+01) (6.117759e-20 -9.839402e-18 -9.633377e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1090         	((5.603493e+00 2.447000e+02 2.792567e-18) (1.599602e+00 -1.865663e-02 8.216989e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464470e-15 -6.214854e-18 -3.297570e+01) (6.117764e-20 -9.839402e-18 -9.633380e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1100         	((5.603492e+00 2.447001e+02 2.792564e-18) (1.599602e+00 -1.865665e-02 8.216995e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464470e-15 -6.214835e-18 -3.297570e+01) (6.117767e-20 -9.839401e-18 -9.633383e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1110         	((5.603488e+00 2.447001e+02 2.792559e-18) (1.599602e+00 -1.865666e-02 8.216997e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464470e-15 -6.214806e-18 -3.297571e+01) (6.117769e-20 -9.839401e-18 -9.633385e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1120         	((5.603487e+00 2.447002e+02 2.792557e-18) (1.599603e+00 -1.865667e-02 8.217002e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464470e-15 -6.214792e-18 -3.297572e+01) (6.117772e-20 -9.839401e-18 -9.633388e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1130         	((5.603485e+00 2.447002e+02 2.792553e-18) (1.599603e+00 -1.865667e-02 8.217009e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464471e-15 -6.214768e-18 -3.297573e+01) (6.117775e-20 -9.839401e-18 -9.633390e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1140         	((5.603483e+00 2.447003e+02 2.792550e-18) (1.599603e+00 -1.865668e-02 8.217011e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464471e-15 -6.214752e-18 -3.297573e+01) (6.117778e-20 -9.839401e-18 -9.633391e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1150         	((5.603481e+00 2.447003e+02 2.792547e-18) (1.599603e+00 -1.865668e-02 8.217014e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464471e-15 -6.214732e-18 -3.297574e+01) (6.117781e-20 -9.839400e-18 -9.633393e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1160         	((5.603478e+00 2.447004e+02 2.792544e-18) (1.599603e+00 -1.865669e-02 8.217019e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464471e-15 -6.214715e-18 -3.297575e+01) (6.117784e-20 -9.839400e-18 -9.633394e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1170         	((5.603479e+00 2.447004e+02 2.792543e-18) (1.599603e+00 -1.865669e-02 8.217022e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464472e-15 -6.214709e-18 -3.297575e+01) (6.117788e-20 -9.839400e-18 -9.633396e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1180         	((5.603476e+00 2.447004e+02 2.792541e-18) (1.599603e+00 -1.865670e-02 8.217022e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464472e-15 -6.214697e-18 -3.297575e+01) (6.117787e-20 -9.839400e-18 -9.633396e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1190         	((5.603476e+00 2.447004e+02 2.792540e-18) (1.599603e+00 -1.865670e-02 8.217026e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464472e-15 -6.214688e-18 -3.297576e+01) (6.117792e-20 -9.839400e-18 -9.633398e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1200         	((5.603475e+00 2.447004e+02 2.792539e-18) (1.599603e+00 -1.865669e-02 8.217026e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464472e-15 -6.214681e-18 -3.297576e+01) (6.117794e-20 -9.839400e-18 -9.633399e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1210         	((5.603475e+00 2.447005e+02 2.792537e-18) (1.599603e+00 -1.865671e-02 8.217028e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464472e-15 -6.214676e-18 -3.297576e+01) (6.117792e-20 -9.839400e-18 -9.633399e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1220         	((5.603474e+00 2.447005e+02 2.792537e-18) (1.599603e+00 -1.865671e-02 8.217030e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464472e-15 -6.214669e-18 -3.297576e+01) (6.117793e-20 -9.839400e-18 -9.633400e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1230         	((5.603472e+00 2.447005e+02 2.792535e-18) (1.599603e+00 -1.865671e-02 8.217032e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464472e-15 -6.214657e-18 -3.297577e+01) (6.117792e-20 -9.839400e-18 -9.633401e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1240         	((5.603472e+00 2.447005e+02 2.792534e-18) (1.599603e+00 -1.865671e-02 8.217033e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464472e-15 -6.214654e-18 -3.297577e+01) (6.117793e-20 -9.839400e-18 -9.633401e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1250         	((5.603471e+00 2.447005e+02 2.792533e-18) (1.599603e+00 -1.865671e-02 8.217034e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464472e-15 -6.214647e-18 -3.297577e+01) (6.117796e-20 -9.839400e-18 -9.633402e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1260         	((5.603470e+00 2.447005e+02 2.792532e-18) (1.599603e+00 -1.865671e-02 8.217035e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464472e-15 -6.214642e-18 -3.297577e+01) (6.117797e-20 -9.839400e-18 -9.633402e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1270         	((5.603470e+00 2.447005e+02 2.792531e-18) (1.599603e+00 -1.865671e-02 8.217036e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214638e-18 -3.297578e+01) (6.117798e-20 -9.839400e-18 -9.633402e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1280         	((5.603470e+00 2.447006e+02 2.792531e-18) (1.599603e+00 -1.865671e-02 8.217037e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214633e-18 -3.297578e+01) (6.117800e-20 -9.839399e-18 -9.633403e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1290         	((5.603469e+00 2.447006e+02 2.792530e-18) (1.599603e+00 -1.865671e-02 8.217038e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214630e-18 -3.297578e+01) (6.117802e-20 -9.839399e-18 -9.633403e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1300         	((5.603469e+00 2.447006e+02 2.792529e-18) (1.599603e+00 -1.865671e-02 8.217039e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214625e-18 -3.297578e+01) (6.117803e-20 -9.839399e-18 -9.633403e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1310         	((5.603468e+00 2.447006e+02 2.792529e-18) (1.599603e+00 -1.865671e-02 8.217039e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214622e-18 -3.297578e+01) (6.117803e-20 -9.839399e-18 -9.633403e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1320         	((5.603468e+00 2.447006e+02 2.792528e-18) (1.599603e+00 -1.865671e-02 8.217040e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214619e-18 -3.297578e+01) (6.117804e-20 -9.839399e-18 -9.633404e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1330         	((5.603468e+00 2.447006e+02 2.792528e-18) (1.599603e+00 -1.865671e-02 8.217040e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214616e-18 -3.297578e+01) (6.117805e-20 -9.839399e-18 -9.633404e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1340         	((5.603467e+00 2.447006e+02 2.792528e-18) (1.599603e+00 -1.865671e-02 8.217041e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214614e-18 -3.297578e+01) (6.117805e-20 -9.839399e-18 -9.633404e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1350         	((5.603467e+00 2.447006e+02 2.792527e-18) (1.599603e+00 -1.865670e-02 8.217041e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214612e-18 -3.297579e+01) (6.117807e-20 -9.839399e-18 -9.633404e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1360         	((5.603467e+00 2.447006e+02 2.792527e-18) (1.599603e+00 -1.865670e-02 8.217042e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214609e-18 -3.297579e+01) (6.117807e-20 -9.839399e-18 -9.633404e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1370         	((5.603467e+00 2.447006e+02 2.792526e-18) (1.599603e+00 -1.865671e-02 8.217042e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214606e-18 -3.297579e+01) (6.117807e-20 -9.839399e-18 -9.633405e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1380         	((5.603467e+00 2.447006e+02 2.792526e-18) (1.599603e+00 -1.865671e-02 8.217042e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214606e-18 -3.297579e+01) (6.117808e-20 -9.839399e-18 -9.633405e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1390         	((5.603466e+00 2.447006e+02 2.792526e-18) (1.599603e+00 -1.865671e-02 8.217043e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214603e-18 -3.297579e+01) (6.117808e-20 -9.839399e-18 -9.633405e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1400         	((5.603466e+00 2.447006e+02 2.792526e-18) (1.599603e+00 -1.865671e-02 8.217043e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214602e-18 -3.297579e+01) (6.117809e-20 -9.839399e-18 -9.633405e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1410         	((5.603466e+00 2.447006e+02 2.792525e-18) (1.599603e+00 -1.865671e-02 8.217044e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214600e-18 -3.297579e+01) (6.117809e-20 -9.839399e-18 -9.633405e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1420         	((5.603466e+00 2.447006e+02 2.792525e-18) (1.599603e+00 -1.865671e-02 8.217044e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214598e-18 -3.297579e+01) (6.117809e-20 -9.839399e-18 -9.633405e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1430         	((5.603465e+00 2.447006e+02 2.792525e-18) (1.599603e+00 -1.865671e-02 8.217044e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214596e-18 -3.297579e+01) (6.117809e-20 -9.839399e-18 -9.633405e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1440         	((5.603465e+00 2.447006e+02 2.792524e-18) (1.599603e+00 -1.865671e-02 8.217045e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214594e-18 -3.297579e+01) (6.117810e-20 -9.839399e-18 -9.633405e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1450         	((5.603465e+00 2.447006e+02 2.792524e-18) (1.599603e+00 -1.865671e-02 8.217045e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214593e-18 -3.297579e+01) (6.117810e-20 -9.839399e-18 -9.633406e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1460         	((5.603465e+00 2.447006e+02 2.792524e-18) (1.599603e+00 -1.865671e-02 8.217045e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214592e-18 -3.297579e+01) (6.117810e-20 -9.839399e-18 -9.633406e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1470         	((5.603465e+00 2.447006e+02 2.792524e-18) (1.599603e+00 -1.865671e-02 8.217045e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214591e-18 -3.297579e+01) (6.117810e-20 -9.839399e-18 -9.633406e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1480         	((5.603465e+00 2.447006e+02 2.792524e-18) (1.599603e+00 -1.865671e-02 8.217046e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214590e-18 -3.297579e+01) (6.117811e-20 -9.839399e-18 -9.633406e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1490         	((5.603465e+00 2.447006e+02 2.792524e-18) (1.599603e+00 -1.865671e-02 8.217046e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214588e-18 -3.297579e+01) (6.117811e-20 -9.839399e-18 -9.633406e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1500         	((5.603464e+00 2.447006e+02 2.792523e-18) (1.599603e+00 -1.865671e-02 8.217046e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214588e-18 -3.297579e+01) (6.117811e-20 -9.839399e-18 -9.633406e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1510         	((5.603464e+00 2.447007e+02 2.792523e-18) (1.599603e+00 -1.865671e-02 8.217046e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214587e-18 -3.297579e+01) (6.117811e-20 -9.839399e-18 -9.633406e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1520         	((5.603464e+00 2.447007e+02 2.792523e-18) (1.599603e+00 -1.865671e-02 8.217046e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214586e-18 -3.297579e+01) (6.117811e-20 -9.839399e-18 -9.633406e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1530         	((5.603464e+00 2.447007e+02 2.792523e-18) (1.599603e+00 -1.865671e-02 8.217047e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214585e-18 -3.297579e+01) (6.117811e-20 -9.839399e-18 -9.633406e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1540         	((5.603464e+00 2.447007e+02 2.792523e-18) (1.599603e+00 -1.865671e-02 8.217047e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214584e-18 -3.297580e+01) (6.117811e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1550         	((5.603464e+00 2.447007e+02 2.792523e-18) (1.599603e+00 -1.865671e-02 8.217047e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214584e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1560         	((5.603464e+00 2.447007e+02 2.792523e-18) (1.599603e+00 -1.865671e-02 8.217047e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214583e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1570         	((5.603464e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217047e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214582e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1580         	((5.603464e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217047e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214581e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1590         	((5.603464e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217048e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214581e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1600         	((5.603464e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217048e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214580e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1610         	((5.603464e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217048e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214580e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1620         	((5.603464e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217048e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214579e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1630         	((5.603464e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217048e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214579e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1640         	((5.603463e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217048e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214578e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1650         	((5.603463e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217048e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214578e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1660         	((5.603463e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217048e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214577e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1670         	((5.603463e+00 2.447007e+02 2.792522e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214577e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1680         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214576e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1690         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214576e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1700         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214575e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1710         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214575e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
