# Forces     
# CofR       : (4.974613e-01 -1.671896e-02 1.250000e-01)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
430          	((5.705758e+00 2.424104e+02 2.950527e-18) (1.598311e+00 -1.838698e-02 8.013678e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.451346e-15 -7.181942e-18 -3.261321e+01) (5.935907e-20 -9.851448e-18 -9.540509e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
440          	((5.692351e+00 2.426611e+02 2.931590e-18) (1.598440e+00 -1.840767e-02 8.037067e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.452771e-15 -7.062749e-18 -3.265644e+01) (5.958721e-20 -9.850156e-18 -9.551029e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
450          	((5.681202e+00 2.428839e+02 2.915386e-18) (1.598571e+00 -1.843273e-02 8.057351e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.454042e-15 -6.961632e-18 -3.269388e+01) (5.977055e-20 -9.848982e-18 -9.560473e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
460          	((5.671856e+00 2.430838e+02 2.901362e-18) (1.598697e+00 -1.845960e-02 8.075155e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.455185e-15 -6.874973e-18 -3.272654e+01) (5.992184e-20 -9.847917e-18 -9.568942e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
470          	((5.663936e+00 2.432640e+02 2.889097e-18) (1.598815e+00 -1.848621e-02 8.090935e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.456218e-15 -6.799919e-18 -3.275519e+01) (6.005093e-20 -9.846950e-18 -9.576513e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
480          	((5.657153e+00 2.434267e+02 2.878286e-18) (1.598921e+00 -1.851101e-02 8.105015e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.457153e-15 -6.734326e-18 -3.278044e+01) (6.016472e-20 -9.846075e-18 -9.583253e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
490          	((5.651278e+00 2.435735e+02 2.868697e-18) (1.599014e+00 -1.853303e-02 8.117628e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.457997e-15 -6.676543e-18 -3.280275e+01) (6.026757e-20 -9.845284e-18 -9.589225e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
500          	((5.646119e+00 2.437054e+02 2.860149e-18) (1.599093e+00 -1.855177e-02 8.128946e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.458757e-15 -6.625247e-18 -3.282252e+01) (6.036262e-20 -9.844577e-18 -9.594496e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
510          	((5.641524e+00 2.438233e+02 2.852500e-18) (1.599160e+00 -1.856717e-02 8.139100e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.459436e-15 -6.579401e-18 -3.284009e+01) (6.045115e-20 -9.843950e-18 -9.599134e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
520          	((5.637379e+00 2.439282e+02 2.845641e-18) (1.599217e+00 -1.857953e-02 8.148195e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.460040e-15 -6.538229e-18 -3.285575e+01) (6.053344e-20 -9.843399e-18 -9.603205e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
